company_name,street_address,city,state,zip_code,mobile_no,username,email,website_url,user_image,auth_level,created_date,user_status,longitude,street,latitude,zip_code_covered,country_code
"Diversified Electric Services, Inc.",,Charlotte,NC,28273,(704) 423-8890,,ken@diversifiedelectricservices.com,,,2,,1,40.7128,2725 Westinghouse Blvd. Suite 1000,74.7128,28273,
"Eagle Vision Plumbing, Inc.",,Charlotte,NC,28266,(704) 937-5267,,jaimemelendes@hotmail.com,,,2,,1,40.7128,P.O. Box 667695,74.7128,28266,
"Heyworth Plumbing Co., Inc.",,Charlotte,NC,28217,(704) 523-2696,,,,,2,,1,40.7128,217 E Cama St,74.7128,28217,
"I.R.V. Plumbing, Inc.",,Charlotte,NC,28273,(704) 544-0200,,irvplumbing@yahoo.com,,,2,,1,40.7128,362 Crompton St,74.7128,28273,
Jim Dickerson Co.,,Charlotte,NC,28215,(704) 331-0544,,,,,2,,1,40.7128,7832 Pence Rd,74.7128,28215,
John J. Oates Plumbing Co.,,Charlotte,NC,28214,(704) 392-4248,,,,,2,,1,40.7128,1032 Gum Branch Rd,74.7128,28214,
Any Plumbing,,Charlotte,NC,28212,(704) 877-4107,,anyplumbingnc@gmail.com,,,2,,1,40.7128,7028 Wallace Rd,74.7128,28212,
Best Rate Plumbing,,Charlotte,NC,28201,(704) 588-6165,,,,,2,,1,40.7128,28201 Lake Norman Cove Dr,74.7128,28201,
"Bill Hefner Plumbing Service,Inc.",,Charlotte,NC,28217,(704) 529-1929,,,,,2,,1,40.7128,204 E Peterson Dr,74.7128,28217,
Bliss Plumbing,,Charlotte,NC,28269,(704) 918-6004,,,,,2,,1,40.7128,"8421 Old Statesville Road, Suite 12",74.7128,28269,
